subject phase  age 
01	1	35
02	2	28
03	2	36
04	2	33
05	2	29
06	0	33
07	0	30
08	2	28
09	0	32
10	0	33
11	2	30
12	1	32
13	1	28
14	1	23
15	2	26
16	2	26
17	2	31
18	1	35
19	1	23
20	2	30
21	2	31
22	1	31
23	1	29
24	2	30
25	1	36
26	0	33
27	1	24
28	2	31
29	1	27
30	2	26
31	1	26
32	1	29
33	1	29
34	2	30
35	0	22
36	1	22
37	1	31
38	2	34
39	0	33
40	1	31
41	1	35
42	1	31
43	0	25
44	2	27
45	0	30
46	2	25
47	2	28
48	2	31
49	1	26
50	1	34
51	2	29
52	2	28
53	1	30
54	0	35
55	1	30
56	0	28
57	1	33
58	0	30
59	0	32
60	1	34
61	0	31
62	0	31
63	2	31
64	1	29
65	1	24
66	2	34
67	0	34
68	2	22
69	1	29
70	0	31
71	0	32
72	1	38
73	2	27
74	1	26
75	0	35
76	1	35
77	1	32
78	1	22
79	2	35
80	1	35
81	1	32
82	2	35
83	0	25
84	2	30
85	2	33
86	0	33
87	1	25
88	2	27
89	0	23
90	2	27
91	0	32
92	0	36
93	1	32
94	1	22
95	1	22
96	1	27
97	1	29
		
